# 日文	中文
10連ガチャチケット	10连扭蛋券
振子のネジ	钟摆的发条
振子の重心	钟摆的重心
攻撃・防御力DOWN	攻击、防御力DOWN
攻撃力	攻击力
攻撃力DOWN	攻击力DOWN
攻撃力UP	攻击力UP
攻撃力・防御力DOWN	攻击力、防御力DOWN
攻撃力・防御力・Blast ダメージDOWN	攻击力、防御力、Blast伤害DOWN
攻撃時に確率でやけど(2T)を付与	攻击时概率给予烧伤状态(2T)
攻撃時に確率でスキル不可(1T)を付与	攻击时概率给予技能封印状态(1T)
攻撃時に確率でスキル不可(3T)を付与	攻击时概率给予技能封印状态(3T)
攻撃時に確率でスタン(1T)を付与	攻击时概率给予眩晕状态(1T)
攻撃時に確率でマギア不可(1T)付与	攻击时概率给与Magia封印状态(1T)
攻撃時に確率で呪い(1T)を付与	攻击时概率给予诅咒状态(1T)
攻撃時に確率で呪い(2T)を付与	攻击时概率给予诅咒状态(2T)
攻撃時に確率で幻惑(1T)を付与	攻击时概率给予幻惑状态(1T)
攻撃時に確率で強化毒(3T)を付与	攻击时概率给予强化毒状态(3T)
攻撃時に確率で拘束(1T)を付与	攻击时概率给予拘束状态(1T)
攻撃時に確率で拘束(1T)付与	攻击时概率给予拘束状态(1T)
攻撃時に確率で暗闇(1T)を付与	攻击时概率给予黑暗状态(1T)
攻撃時に確率で毒(3T)を付与	攻击时概率给予毒状态(3T)
攻撃時に確率で毒(3T)付与	攻击时概率给予毒状态(3T)
攻撃時に確率で毒・呪い・霧(2T)を付与	攻击时概率给与毒·诅咒·雾状态(2T)
攻撃時に確率で霧(3T)を付与	攻击时概率给予雾状态(3T)
攻撃時に確率で魅了(1T)を付与	攻击时概率给予魅惑状态(1T)
攻撃時に確率で魅了(2T)を付与	攻击时概率给予魅惑状态(2T)
攻撃時確率でスキル不可(1T)付与	攻击时概率给予技能封印状态(1T)
攻撃時確率で幻惑(1T)付与	攻击时概率给予幻惑状态(1T)
攻撃時確率で拘束(1T)付与	攻击时概率给予拘束状态(1T)
攻撃時確率で暗闇(1T)を付与	攻击时概率给予黑暗状态(1T)
攻撃時確率で暗闇(1T)付与	攻击时概率给予黑暗状态(1T)
攻撃時確率で毒(3T)付与	攻击时概率给予毒状态(3T)
攻撃時確率で霧(3T)付与	攻击时概率给予雾状态(3T)
敬愛の欠片	敬爱的碎片
敬愛の欠片+	敬爱的碎片+
敬愛の欠片++	敬爱的碎片++
敵の状態異常の種類が多いほどダメージUP	敌方状态异常种类越多伤害越高
敵全体にダメージ	对敌方全体伤害
敵全体に属性強化ダメージ	对敌方全体属性强化伤害
敵全体ダメージ	对敌方全体伤害
敵単体にダメージ	对敌方单体伤害
敵単体に属性強化ダメージ	对敌方单体属性强化伤害
敵単体ダメージ	对敌方单体伤害
敵状態異常時ダメージUP	敌方状态异常时伤害上升
文倉十	文仓十<!-- Ayakura Jū -->
斎藤千和	斋藤千和
斜文	[https://x.com/630_sham 斜文]<!-- Shamono -->
日笠陽子	日笠阳子
早瀬莉花	早濑莉花
早見沙織	早见沙织
明日への切符入手時	往明日的车票入手时
星和貴	[https://x.com/hoshi_kazuki 星和贵]
星和貴 / 猫杜なな	[https://x.com/hoshi_kazuki 星和贵] / 猫杜奈奈
春名このみ	春名木乃美
春方此花学園	春方此花学园 <!--はるへ-->
春花らん	春花兰
春花らん、進藤あまね	春花兰、进藤天音
暁美ほむら	晓美焰
暗闇	黑暗
暗闇無効	黑暗无效
月咲にコネクトで攻撃力UP	和月咲连携时攻击力UP
月夜にコネクトすると さらにMP回復	和月夜连携时 回复更多MP
期待の欠片	期待的碎片
期待の欠片+	期待的碎片+
期待の欠片++	期待的碎片++
木の実(茶)入手時	树果(茶)获得时
木の実(青)入手時	树果(青)获得时
木属性ダメージカット	木属性伤害削减
木属性ダメージカット状態	木属性伤害削减状态
木属性攻撃力UP	木属性攻击力UP
木戸衣吹	木户衣吹
本渡楓	本渡枫
杜野まこ	杜野真子
東山奈央	东山奈央
東山雄勢	[https://x.com/gass_mountain 东山雄勢]
松井恵理子	松井惠理子
松宮市立第一中学校	松宫市立第一中学校 <!--まつみや-->
板チョコ入手時	巧克力板获得时
果てなしのミラーズ	镜界
枡狐/蛙空	[https://x.com/masugitune 枡狐/蛙空]<!-- Masugitune / Kaerusora
柴乃櫂人	[https://x.com/kr3kaito 柴乃櫂人]<!--Shibano Kaito-->
桑原由気	桑原由气
桑水せいか	桑水清佳
桜木蓮	[https://x.com/sakuragi_ren 樱木蓮]
森なな子	森奈奈子
植田亮	[https://www.pixiv.net/member.php?id=178187 植田亮]<!--Ueda Ryō
楠木ともり	楠木灯
横方向にダメージ	横方向伤害
横方向に属性強化ダメージ	对横方向属性强化伤害
殲滅戦時追加で	歼灭战时追加
毒無効	毒无效
毬子あやか	毬子彩花
水属性ダメージカット	水属性伤害削减
水属性ダメージカット状態	水属性伤害削减状态
水属性攻撃力UP	水属性攻击力UP
水樹奈々	水树奈奈
水橋かおり	水桥香织
水波レナ	水波玲奈
水瀬いのり	水濑祈
汐入あすか	汐入明日香
江利あいみ	江利爱实
沢城みゆき	泽城美雪
河瀬茉希	河濑茉希
洲崎綾	洲崎绫
流亜	流亚
流浪の杭	流浪的桩
流浪の藁	流浪的稻草
海香の覚醒書	海香的觉醒书
海香の魔導書	海香的魔导书
涼本あきほ	凉本秋穗
涼本あきほ、松本花雪	凉本秋穗、松本花雪
深月フェリシア	深月菲莉希亚
渡辺明夫	[https://x.com/akio_w_0727 渡边明夫]
湯の花国際中学・高等学校	汤之花国际中学・高等学校 <!--ゆのはな-->
湯国市立岩切山高等学校	汤国市立岩切山高等学校
湯国市立湯国学園	汤国市立汤国学园 <!--ゆくにしりつ-->
湯国青波学園	汤国青波学园 <!--ゆくにあおなみ-->
激怒の欠片	激怒的碎片
激怒の欠片+	激怒的碎片+
激怒の欠片++	激怒的碎片++
瀕死の味方を必ずかばう	必定保护濒死的同伴
瀕死の味方を確率でかばう	概率保护濒死的同伴
瀕死時攻撃力UP	濒死时攻击力UP
瀕死時攻撃力・防御力UP	濒死时攻击力UP·防御力UP
瀕死時防御力UP	濒死时防御力UP
瀕死時防御力Up	濒死时防御力UP
瀬戸麻沙美	濑户麻沙美
火・水・木属性ダメージカット状態	火·水·木属性伤害削减状态
火属性ダメージカット状態	火属性伤害削减状态
火属性攻撃力UP	火属性攻击力UP
燕尾の羽	燕尾羽
牧カオル	牧薰
状態強化解除	状态强化解除
状態異常の種類が多いほどダメージUP	状态异常种类越多伤害越高
状態異常を1回無効	状态异常1回无效
状態異常を2回無効	状态异常2回无效
状態異常を3回無効	状态异常3回无效
状態異常時ダメージUP	状态异常时伤害上升
状態異常耐性DOWN	状态异常耐性DOWN
状態異常耐性UP	状态异常耐性UP
状態異常解除	状态异常解除
状態異常解除後	状态异常解除后
獲得エピソードP UP	获得篇章点UP
獲得エピソードポイントUP	获得篇章点UP
現在HPの80%	当前HP的80%
環いろは	环伊吕波
田中ちえ美	田中千惠美
田中理恵	田中理惠
田所あずさ	田所梓
田村ゆかり	田村由香里
白つつじ入手時	白杜鹃获得时
白羽女学院	白羽女学院 <!--しらは-->
相坂優歌	相坂优歌
相良茉優	相良茉优
相野みと	相野未都
眞尾ひみか	真尾日美香
矢宵かのこ	矢宵鹿乃子
石原夏織	石原夏织
石原夏織、大橋彩香	石原夏织、大桥彩香
石見舞菜香	石见舞菜香
砂場のシャベル	沙地的铲子
砂場の巻貝	沙地的海螺
確率でかばう	概率保护
確率でやけど	概率烧伤
確率でやけど無効	概率烧伤无效
確率でカウンター	概率反击
確率でカウンター無効	概率反击无效
確率でクリティカル	概率暴击
確率でサヴァイブ	概率Survive
確率でサヴァイヴ	概率Survive
確率でスキルクイック	概率技能冷却加速
確率でスキル不可	概率技能封印
確率でスキル不可無効	概率技能封印无效
確率でスタン	概率眩晕
確率でスタン無効	概率眩晕无效
確率でダメージカット	概率伤害削减
確率でダメージカット無視	概率无视伤害削减
確率でマギア不可	概率Magia封印
確率でマギア不可無効	概率Magia封印无效
確率で呪い	概率诅咒
確率で呪い無効	概率诅咒无效
確率で味方をかばう	概率保护同伴
確率で回避	概率回避
確率で回避無効	概率回避无效
確率で幻惑	概率幻惑
確率で幻惑無効	概率幻惑无效
確率で強化カウンター	概率强化反击
確率で強化毒	概率强化毒
確率で拘束	概率拘束
確率で拘束無効	概率拘束无效
確率で挑発	概率挑衅
確率で挑発無視	概率无视挑衅
確率で暗闇	概率黑暗
確率で暗闇・拘束・スキル不可	概率黑暗、拘束、技能封印
確率で暗闇無効	概率黑暗无效
確率で毒	概率毒
確率で毒・やけど・霧・暗闇・呪い・幻惑	概率毒·烧伤·雾·黑暗·诅咒·幻惑
確率で毒無効	概率毒无效
確率で虚弱	概率虚弱
確率で追撃	概率追击
確率で防御力無視	概率无视防御力
確率で防御無視	概率无视防御
確率で霧	概率雾
確率で魅了	概率魅惑
確率で魅了無効	概率魅惑无效
磯部トースト	[https://x.com/hmty_108 矶部Toast]<!-- 矶部TOOSUTO --> <!--Isobe
神浜市立大学	神滨市立大学 <!--かみはましりつ-->
神浜未来アカデミー	神滨未来学院 <!--かみはまみらい-->
福緒唯	福绪唯
私立直江津高校	私立直江津高校 <!--しりつなおえつ-->
私立聖祥大附属小学校	私立圣祥大学附属小学 <!--しりつせいしょう-->
秋野かえで	秋野枫
秘鷺悠弥	[https://www.wakka-illustorder.com/illustrator.php?id=915&il
種﨑敦美	种崎敦美
立ち耳の包装紙	立耳的包装纸
立ち耳の綿	立耳的棉花
竜ケ崎学院	龙崎学院 <!--りゅうがさき-->
竹花ノート	[https://www.pixiv.net/member.php?id=3303798 竹花ノート]<!-- Take
竹達彩奈	竹达彩奈
粟根こころ	粟根心
紅緒	[https://www.pixiv.net/users/644229 红绪]<!-- Benio -->
絵西	[https://x.com/d15_17 绘西]
絵馬の水引	-
縦方向にダメージ	纵方向伤害
縦方向に属性強化ダメージ	对纵方向属性强化伤害
羊の角	-
羊の角笛	羊角笛
羊宮妃那	羊宫妃那
美凪ささら	美凪纱纱罗
美樹さやか	美树沙耶香
耐える	忍耐
胡桃まなか	胡桃爱香
自分のDiscドロー	重抽为自己的Disc
自分のMPが10%溜まった状態でバトル開始	以自己的MP积累10%的状态开始战斗
自分のMPが15%溜まった状態でバトル開始	以自己的MP积累15%的状态开始战斗
自分のMPが20%溜まった状態でバトル開始	以自己的MP积累20%的状态开始战斗
自分のMPが40%溜まった状態でバトル開始	以自己的MP积累40%的状态开始战斗
自分のMPが50%溜まった状態でバトル開始	以自己的MP积累50%的状态开始战斗
自分の防御DOWN	自身防御DOWN
自分防御DOWN	自身防御DOWN
自身にクリティカル無効×1回	自身暴击无效×1回
自身にクリティカル無効×1回』を発動	自身暴击无效×1回”的状态
自身にクリティカル無効×２回	自身暴击无效×2回
自身にクリティカル無効×２回』を発動	自身暴击无效×2回”的状态
自身にスキル不可	自身技能封印
自身にダメージ	对自己伤害
自身に呪い	自身诅咒
自身に必ず呪い	自身必定诅咒
自身に必ず回避	自身必定闪避
自身に必ず暗闇	自身必定黑暗
自身に必ず追撃	自身必定追击
自身に確率で追撃	自身概率追击
自身に追撃	自身追击
色鉛筆入手時	彩色铅笔获得时
花澤香菜	花泽香菜
若山詩音	若山诗音
茜ヶ咲中学校	茜之咲中学校 <!--あかねがざき-->
茨乃	[https://www.pixiv.net/member.php?id=67388 茨乃]
茶ちえ	[https://x.com/sachie6005 茶CHIE]<!-- Sachie -->
蒼樹うめ	[http://ap.sakuraweb.com/ 苍树梅]
蒼樹うめ、ぷにゃん	[http://ap.sakuraweb.com/ 苍树梅]、ぷにゃん（Punyan）
藤ちょこ	[https://www.pixiv.net/member.php?id=27517 藤原]
蘇生	苏生
蛇の宮中学・高等学校	蛇之宫中学・高等学校 <!--じゃのみや-->
被ダメージ上昇(3000)を付与	给予受伤害上升(3000)
被ダメージ時MPUP	被攻击时MPUP
記憶スタッフのウワサ	记忆职员之谣
記憶ミュージアムのウワサ	记忆博物馆之谣
諸星すみれ	诸星堇
谷口淳一郎	[https://x.com/syaorin_2009 谷口淳一郎]
豊田萌絵	丰田萌绘
貝殻(赤)入手時	贝壳(红)获得时
貝殻(青)入手時	贝壳(青)获得时
赤つつじ入手時	红杜鹃获得时
赤井てら	[https://x.com/_a_k_a_i 赤井てら]
赤尾ひかる	赤尾光
追想の欠片	回想的碎片
追撃	追击
進藤あまね	进藤天音
都ひなの	都雏乃
都筑禰己	[https://x.com/tsudukineko -
重複不可	不可重复
野中藍	野中蓝
金元寿子、竹達彩奈	金元寿子、竹达彩奈
釘宮理恵	钉宫理惠
釘宮理恵、諸星すみれ	钉宫理惠、诸星堇
鈴代紗弓	铃代纱弓
鈴木みのり	铃木实里
鈴木絵理	铃木绘理
鏡の招待状	镜之邀请函
長縄まりあ	长绳麻理亚
闇属性ダメージカット	暗属性伤害削减
闇属性ダメージカット状態	暗属性伤害削减状态
闇属性攻撃力UP	暗属性攻击力UP
闇属性耐性DOWN	暗属性耐性DOWN
防御力Up	防御力UP
防御無視	无视防御
階段のモニュメント	阶梯的纪念碑
雨宮天	雨宫天
雨宮天、中原麻衣	雨宫天、中原麻衣
雫のチャーム	水滴挂饰
霧	雾
霧峰村立霧峰中学校	雾峰村立雾峰中学校 <!--きりみね-->
霧無効	雾无效
青味ドリ	[https://x.com/dori_blueness 青味ドリ]<!--Aomi Dori-->
静海このは	静海木叶
飯田ヒカル	饭田光
飯田志穂	饭田志穗<!-- Iita Shiho -->
騎士団のメダル入手時	骑士团的勋章入手时
驚嘆の欠片	惊叹的碎片
驚嘆の欠片+	惊叹的碎片+
驚嘆の欠片++	惊叹的碎片++
高柳知葉	高柳知叶
高橋李依	高桥李依
高野麻里佳、和氣あず未	高野麻里佳、和气杏未
鬼頭明里	鬼头明里
魅了	魅惑
魅了無効	魅惑无效
魔導書のページ	魔导书页
魔法少女まどか☆マギカ Ultimate Best	魔法少女小圆 Ultimate Best
鮠水ちか	[https://www.pixiv.net/member.php?id=2395076 鮠水ちか（Hayami Chi
鷲見友美ジェナ	鹫见友美Jiena
鹿目まどか	鹿目圆
麻倉もも	麻仓桃
麻倉もも、石見舞菜香	麻仓桃、石见舞菜香
麻倉もも、花澤香菜	麻仓桃、花泽香菜
麻倉もも、雨宮天	麻仓桃、雨宫天
黒木ほの香	黑木穗乃香
２パターンの効果がランダムで発動	从2种效果中随机发动
ｱﾙﾃｨﾒｯﾄ	究极
